
2022/08/04 (22:05:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (22:07:56) | ===> btop++ v.1.2.7
2022/08/04 (22:07:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/05 (01:43:30) | ===> btop++ v.1.2.7
2022/08/05 (01:43:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/05 (13:58:40) | ===> btop++ v.1.2.7
2022/08/05 (13:58:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (01:14:15) | ===> btop++ v.1.2.7
2022/08/07 (01:14:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (02:08:57) | ===> btop++ v.1.2.7
2022/08/07 (02:08:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (13:36:28) | ===> btop++ v.1.2.7
2022/08/07 (13:36:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (15:49:12) | ===> btop++ v.1.2.7
2022/08/07 (15:49:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (15:50:30) | ===> btop++ v.1.2.7
2022/08/07 (15:50:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (16:09:11) | ===> btop++ v.1.2.7
2022/08/07 (16:09:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (16:10:05) | ===> btop++ v.1.2.7
2022/08/07 (16:10:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (16:36:30) | ===> btop++ v.1.2.7
2022/08/07 (16:36:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/07 (19:39:10) | ===> btop++ v.1.2.7
2022/08/07 (19:39:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/08 (14:48:27) | ===> btop++ v.1.2.7
2022/08/08 (14:48:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/08 (18:01:03) | ===> btop++ v.1.2.7
2022/08/08 (18:01:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/09 (01:55:32) | ===> btop++ v.1.2.7
2022/08/09 (01:55:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/09 (16:27:39) | ===> btop++ v.1.2.7
2022/08/09 (16:27:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/09 (16:30:27) | ===> btop++ v.1.2.7
2022/08/09 (16:30:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/09 (23:35:24) | ===> btop++ v.1.2.7
2022/08/09 (23:35:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/11 (16:20:22) | ===> btop++ v.1.2.7
2022/08/11 (16:20:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
